customer_id,name,age,city,income,signup_date
00001,  Ulf Dorn ,21,Munich,62958.24,2019-07-26
00002,  Xaver Dorn ,87,Berlin,116526.34,2018-05-11
00003,  Anna Christ ,45,Hamburg,103330.07,2018-04-19
00004,  Rosa Graf ,87,Cologne,59168.30,2024-08-10
00005,  Ida Albrecht ,38,Cologne,77738.83,2019-09-29
00006,  Greta Keller ,31,Berlin,83888.73,2022-01-10
00007,Lukas Thiel,51, Berlin  ,138108.43,2024-01-06
00008,David Meyer,28, Frankfurt  ,70442.63,2025-01-18
00009,Tara Lang,42, Berlin  ,32102.78,2020-07-22
00010,Yara Jung,28, Hamburg  ,159304.97,2022-04-06
00011,Ida Otto,NA,Hamburg,82378.05,2020-05-08
00012,Vera Iversen,NA,Frankfurt,123421.63,2023-12-28
00013,Xaver Hoffmann,NA,Cologne,83815.59,2025-03-06
00014,Wanda Richter,NA,Munich,155642.05,2018-08-18
00015,Hugo Bauer,58,unknown,66499.84,2020-05-14
00016,Simon Weber,58,unknown,126592.99,2022-06-09
00017,Ulf Otto,36,unknown,46642.70,2024-04-18
00018,Rosa Iversen,72,Frankfurt,N/A,2020-06-17
00019,Emma Quandt,81,Berlin,142146.23,2019-03-26
00020,Emma Ulrich,38,Cologne,117443.40,2022-04-26
00021,Mia Thiel,77,Frankfurt,"63,969.19",2024-03-16
00022,Anna Vogel,32,Frankfurt,"141,386.06",2025-03-10
00023,Klara Dorn,55,Cologne,"49,514.45",2018-01-14
00024,Xaver Zimmer,51,Frankfurt,"143,104.14",2023-09-11
00025,David Ulrich,56,Frankfurt,"119,390.38",2019-09-19
00026,Lukas Fischer,87,Frankfurt,"167,366.49",2024-09-19
00027,Klara Peters,20,Berlin,"169,010.29",2021-06-13
00028,Hugo Bauer,48,Frankfurt,"171,777.16",2018-12-17
00029,Xaver Peters,26,Frankfurt,"143,704.34",2019-06-10
00030,Vera Peters,88,Hamburg,"66,083.78",2024-10-20
00031,Noah Graf,,Hamburg,135507.09,2022-06-23
00032,Vera Ulrich,,Cologne,164440.18,2023-01-24
00033,David Hoffmann,,Berlin,77403.26,2024-08-06
00034,Rosa Hoffmann,,Berlin,36003.93,2025-01-28
00035,Ben Hoffmann,,Berlin,158243.49,2018-10-18
00036,Quirin Hoffmann,53,Cologne,,2019-06-26
00037,Xaver Schmidt,78,Hamburg,,2022-07-26
00038,Greta Dorn,30,Cologne,,2022-08-11
00039,Olga Zimmer,24,Berlin,,2021-10-21
00040,Zeno Dorn,49,Hamburg,,2023-01-12
00041,Emma Neumann,41,,96707.35,2018-11-05
00042,Olga Richter,30,,126082.46,2024-01-24
00043,Anna Christ,48,,87994.18,2023-05-26
00044,Greta Meyer,25,,83740.83,2022-05-19
00045,Ida Otto,54,,132971.68,2024-03-26
00046,Vera Weber,80,Hamburg,54434.17,2020-06-10
00047,Ben Schmidt,87,Berlin,140936.21,2018-08-23
00048,Ben Schmidt,79,Frankfurt,167505.01,2023-12-16
00049,Felix Bauer,83,Berlin,156958.09,2018-10-08
00050,Tara Christ,48,Cologne,43582.43,2024-05-22
00051,Hugo Schmidt,3,Frankfurt,37707.43,2025-05-16
00052,Simon Schmidt,130,Munich,169879.47,2020-04-16
00053,Vera Weber,999,Hamburg,66170.25,2019-06-21
00054,Vera Ulrich,0,Cologne,74007.47,2018-10-25
00055,Anna Otto,200,Berlin,36355.41,2020-05-23
00056,Quirin Iversen,34,Munich,161533.95,2020-09-27
00057,Lukas Jung,38,Cologne,154230.47,2025-11-21
00058,Jonas Thiel,85,Berlin,128518.80,2024-03-21
00059,Jonas Vogel,31,Hamburg,65992.22,2019-03-15
00060,Xaver Richter,37,Munich,68672.22,2020-05-12
00061,Wanda Keller,44,Munich,103338.40,25/10/2020
00062,Ben Christ,72,Munich,31833.45,28/09/2021
00063,Yara Engel,51,Hamburg,139890.79,21/03/2024
00064,Wanda Neumann,89,Berlin,42340.45,13/10/2025
00065,Emma Richter,22,Munich,115288.98,30/08/2019
00066,Noah Engel,23,Munich,81520.98,06/13/2018
00067,Lukas Graf,49,Berlin,79820.19,04/24/2024
00068,Noah Thiel,37,Hamburg,159013.88,12/27/2019
